Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
24,Angola,2015,Tourism expenditure (millions of US dollars),,,1171,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
24,Angola,2016,Tourism expenditure (millions of US dollars),,,628,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
24,Angola,2017,Tourism expenditure (millions of US dollars),,,884,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,1995,Tourist/visitor arrivals (thousands),TF,,39,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2005,Tourist/visitor arrivals (thousands),TF,,62,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2010,Tourist/visitor arrivals (thousands),TF,,62,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2015,Tourist/visitor arrivals (thousands),TF,,73,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2016,Tourist/visitor arrivals (thousands),TF,,79,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2017,Tourist/visitor arrivals (thousands),TF,,68,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,1995,Tourism expenditure (millions of US dollars),,,50,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2005,Tourism expenditure (millions of US dollars),,,86,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2010,Tourism expenditure (millions of US dollars),,,99,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2015,Tourism expenditure (millions of US dollars),,,142,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2016,Tourism expenditure (millions of US dollars),,,143,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2017,Tourism expenditure (millions of US dollars),,,149,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,1995,Tourist/visitor arrivals (thousands),TF,,220,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2005,Tourist/visitor arrivals (thousands),TF,,245,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2010,Tourist/visitor arrivals (thousands),TF,,230,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2015,Tourist/visitor arrivals (thousands),TF,,250,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
